dataset,method,budget_point,paper,reproduced,delta,abs_delta
cancer,CR,9,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,CA,9,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,DMCO,9,0.9495,0.9266362961812566,-0.022863703818743364,0.022863703818743364
cancer,DR,10,0.8,0.8945867659646702,0.0945867659646702,0.0945867659646702
cancer,DA,10,0.9474,0.870417581972327,-0.07698241802767303,0.07698241802767303
cancer,CR,10,0.9592,0.9564024348956572,-0.002797565104342814,0.002797565104342814
cancer,CA,10,0.9495,0.963743798780295,0.014243798780295025,0.014243798780295025
cancer,DMCO,10,0.9592,0.9266362961812566,-0.032563703818743406,0.032563703818743406
nasa,DR,1,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,1,20.6762,88.86574846964207,68.18954846964206,68.18954846964206
nasa,CR,1,29.9315,58.57699379475105,28.645493794751047,28.645493794751047
nasa,CA,1,11.9683,58.57699379475105,46.60869379475105,46.60869379475105
nasa,DMCO,1,18.8011,46.219283773839216,27.418183773839214,27.418183773839214
nasa,DR,2,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,2,16.7141,88.86574846964207,72.15164846964207,72.15164846964207
nasa,CR,2,28.564,50.465124276534354,21.901124276534354,21.901124276534354
nasa,CA,2,3.7141,50.465124276534354,46.75102427653435,46.75102427653435
nasa,DMCO,2,11.9055,47.13997502082652,35.23447502082652,35.23447502082652
nasa,DR,3,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,3,15.1782,88.86574846964207,73.68754846964207,73.68754846964207
nasa,CR,3,24.1622,47.83615164832379,23.673951648323794,23.673951648323794
nasa,CA,3,3.732,47.79677315342234,44.064773153422344,44.064773153422344
nasa,DMCO,3,11.6682,48.38952713975567,36.72132713975567,36.72132713975567
nasa,DR,4,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,4,12.1341,88.86574846964207,76.73164846964207,76.73164846964207
nasa,CR,4,22.937,47.2887274619992,24.3517274619992,24.3517274619992
nasa,CA,4,3.732,46.05279828703451,42.32079828703451,42.32079828703451
nasa,DMCO,4,10.4543,48.37535271593018,37.92105271593017,37.92105271593017
nasa,DR,5,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,5,11.1648,88.86574846964207,77.70094846964207,77.70094846964207
nasa,CR,5,20.3804,44.06986983797251,23.68946983797251,23.68946983797251
nasa,CA,5,2.8069,43.5944267146841,40.7875267146841,40.7875267146841
nasa,DMCO,5,9.1942,49.67726999352548,40.483069993525476,40.483069993525476
nasa,DR,6,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,6,10.8069,88.86574846964207,78.05884846964207,78.05884846964207
nasa,CR,6,20.1366,41.16216251382264,21.025562513822642,21.025562513822642
nasa,CA,6,2.8069,41.16216251382264,38.355262513822645,38.355262513822645
nasa,DMCO,6,9.0713,49.91350947852,40.84220947852,40.84220947852
nasa,DR,7,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,7,10.5492,88.86574846964207,78.31654846964207,78.31654846964207
nasa,CR,7,18.5961,40.468679587826145,21.872579587826145,21.872579587826145
nasa,CA,7,2.621,39.88611320291195,37.26511320291195,37.26511320291195
nasa,DMCO,7,10.1281,49.87674722108384,39.74864722108384,39.74864722108384
nasa,DR,8,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,8,10.5492,88.86574846964207,78.31654846964207,78.31654846964207
nasa,CR,8,17.5085,38.07385046777303,20.565350467773026,20.565350467773026
nasa,CA,8,1.9214,39.46777738593699,37.54637738593699,37.54637738593699
nasa,DMCO,8,8.2889,49.91775635937516,41.62885635937516,41.62885635937516
nasa,DR,9,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,9,10.5492,88.86574846964207,78.31654846964207,78.31654846964207
nasa,CR,9,15.6952,30.97915870313713,15.283958703137131,15.283958703137131
nasa,CA,9,1.9639,30.798247831726336,28.834347831726337,28.834347831726337
nasa,DMCO,9,6.3613,52.31767719049216,45.95637719049216,45.95637719049216
nasa,DR,10,34.6802,88.86574846964207,54.18554846964207,54.18554846964207
nasa,DA,10,9.3171,88.86574846964207,79.54864846964207,79.54864846964207
nasa,CR,10,13.3376,22.40310052594533,9.06550052594533,9.06550052594533
nasa,CA,10,1.863,22.269323949424074,20.406323949424074,20.406323949424074
nasa,DMCO,10,7.6229,51.24758755687134,43.624687556871336,43.624687556871336
soilmoisture,DR,1,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,1,0.4298,1.2260703825577104,0.7962703825577104,0.7962703825577104
soilmoisture,CR,1,2.649,0.8856274255390069,-1.7633725744609932,1.7633725744609932
soilmoisture,CA,1,0.249,0.8856274255390069,0.6366274255390069,0.6366274255390069
soilmoisture,DMCO,1,0.421,0.9846346266229632,0.5636346266229633,0.5636346266229633
soilmoisture,DR,2,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,2,0.2923,1.2260703825577104,0.9337703825577104,0.9337703825577104
soilmoisture,CR,2,2.6132,0.657423300801168,-1.955776699198832,1.955776699198832
soilmoisture,CA,2,0.1026,0.657423300801168,0.5548233008011679,0.5548233008011679
soilmoisture,DMCO,2,0.4159,1.1190435967834589,0.703143596783459,0.703143596783459
soilmoisture,DR,3,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,3,0.4744,1.2260703825577104,0.7516703825577105,0.7516703825577105
soilmoisture,CR,3,2.4157,0.6186568470585199,-1.7970431529414803,1.7970431529414803
soilmoisture,CA,3,0.0986,0.6186568470585199,0.5200568470585198,0.5200568470585198
soilmoisture,DMCO,3,0.3636,0.6646557713215255,0.30105577132152556,0.30105577132152556
soilmoisture,DR,4,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,4,0.4491,1.2260703825577104,0.7769703825577103,0.7769703825577103
soilmoisture,CR,4,2.3583,0.5697553100481253,-1.7885446899518747,1.7885446899518747
soilmoisture,CA,4,0.075,0.5697553100481253,0.4947553100481253,0.4947553100481253
soilmoisture,DMCO,4,0.2771,0.6608177490855368,0.3837177490855368,0.3837177490855368
soilmoisture,DR,5,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,5,0.497,1.2260703825577104,0.7290703825577104,0.7290703825577104
soilmoisture,CR,5,2.2986,0.5693927795590253,-1.7292072204409745,1.7292072204409745
soilmoisture,CA,5,0.1158,0.5693927795590253,0.4535927795590253,0.4535927795590253
soilmoisture,DMCO,5,0.2773,0.7117995349852954,0.43449953498529537,0.43449953498529537
soilmoisture,DR,6,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,6,0.497,1.2260703825577104,0.7290703825577104,0.7290703825577104
soilmoisture,CR,6,2.1737,0.5431587384492492,-1.6305412615507509,1.6305412615507509
soilmoisture,CA,6,0.1099,0.5431587384492492,0.4332587384492492,0.4332587384492492
soilmoisture,DMCO,6,0.2274,0.6630069725304405,0.4356069725304405,0.4356069725304405
soilmoisture,DR,7,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,7,0.497,1.2260703825577104,0.7290703825577104,0.7290703825577104
soilmoisture,CR,7,2.1119,0.5258827060196889,-1.586017293980311,1.586017293980311
soilmoisture,CA,7,0.1248,0.5258827060196889,0.4010827060196889,0.4010827060196889
soilmoisture,DMCO,7,0.2363,1.1499907881501112,0.9136907881501113,0.9136907881501113
soilmoisture,DR,8,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,8,0.497,1.2260703825577104,0.7290703825577104,0.7290703825577104
soilmoisture,CR,8,1.9095,0.4608059053634324,-1.4486940946365676,1.4486940946365676
soilmoisture,CA,8,0.1248,0.4608059053634324,0.33600590536343244,0.33600590536343244
soilmoisture,DMCO,8,0.1933,1.1877699764849723,0.9944699764849723,0.9944699764849723
soilmoisture,DR,9,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,9,0.497,1.2260703825577104,0.7290703825577104,0.7290703825577104
soilmoisture,CR,9,1.8339,0.3674798752768242,-1.4664201247231758,1.4664201247231758
soilmoisture,CA,9,0.1246,0.3674798752768242,0.2428798752768242,0.2428798752768242
soilmoisture,DMCO,9,0.0815,0.4602146975051465,0.37871469750514647,0.37871469750514647
soilmoisture,DR,10,2.7162,1.2260703825577104,-1.4901296174422898,1.4901296174422898
soilmoisture,DA,10,0.438,1.2260703825577104,0.7880703825577104,0.7880703825577104
soilmoisture,CR,10,1.6847,0.563518242927541,-1.121181757072459,1.121181757072459
soilmoisture,CA,10,0.1246,0.563518242927541,0.43891824292754106,0.43891824292754106
soilmoisture,DMCO,10,0.1038,1.0917803604114265,0.9879803604114265,0.9879803604114265
